period_id,l2_name,l1_name,n_goals,avg_composite,avg_composite_raw,at_risk_count,avg_coherence,avg_coherence_norm,avg_attainability,avg_relevance,avg_integrity,budget_shock,market_shock
3,Research & Innovation,Product,2,0.531,0.531,0,0.8,0.733,0.1,0.575,0.65,0,0
3,Technical Debt,Product,2,0.354,0.354,1,0.46,0.28,0.103,0.393,0.462,0,0
4,Content & SEO,Marketing,3,0.362,0.362,2,0.82,0.76,0.1,0.39,0.137,0,0
4,Core Platform,Product,3,0.353,0.353,2,0.739,0.652,0.1,0.327,0.247,0,0
4,Customer Success,Operations,3,0.453,0.453,1,0.696,0.595,0.364,0.633,0.118,0,0
4,Data & Analytics,Operations,2,0.399,0.399,0,0.825,0.767,0.099,0.575,0.098,0,0
4,Events & Community,Marketing,3,0.297,0.297,2,0.606,0.475,0.1,0.453,0.03,0,0
4,Finance & Legal,G&A,2,0.318,0.318,1,0.783,0.711,0.098,0.393,0.0,0,0
4,General Admin,G&A,2,0.297,0.297,1,0.808,0.744,0.101,0.21,0.067,0,0
4,HR & Recruiting,G&A,2,0.312,0.312,2,0.8,0.733,0.1,0.21,0.137,0,0
4,Infrastructure & DevOps,Operations,2,0.192,0.192,2,0.45,0.267,0.103,0.216,0.0,0,0
4,New Features,Product,3,0.387,0.387,1,0.856,0.807,0.101,0.512,0.078,0,0
4,Paid Acquisition,Marketing,3,0.408,0.408,1,0.872,0.83,0.1,0.512,0.15,0,0
4,Partnerships,Marketing,3,0.361,0.361,2,0.682,0.576,0.101,0.487,0.172,0,0
4,Research & Innovation,Product,2,0.387,0.387,1,0.8,0.733,0.1,0.575,0.074,0,0
4,Technical Debt,Product,2,0.257,0.257,1,0.46,0.28,0.102,0.393,0.075,0,0
5,Content & SEO,Marketing,3,0.39,0.39,2,0.844,0.792,0.101,0.39,0.223,0,0
5,Core Platform,Product,3,0.323,0.323,2,0.739,0.652,0.103,0.327,0.123,0,0
5,Customer Success,Operations,3,0.44,0.44,1,0.696,0.595,0.37,0.633,0.058,0,0
5,Data & Analytics,Operations,2,0.394,0.394,0,0.825,0.767,0.102,0.575,0.075,0,0
5,Events & Community,Marketing,3,0.3,0.3,2,0.576,0.434,0.104,0.453,0.066,0,0
5,Finance & Legal,G&A,2,0.342,0.342,1,0.783,0.711,0.107,0.393,0.086,0,0
5,General Admin,G&A,2,0.312,0.312,1,0.808,0.744,0.103,0.21,0.125,0,0
5,HR & Recruiting,G&A,2,0.309,0.309,2,0.8,0.733,0.101,0.21,0.125,0,0
5,Infrastructure & DevOps,Operations,2,0.197,0.197,2,0.45,0.267,0.099,0.216,0.025,0,0
5,New Features,Product,3,0.41,0.41,1,0.856,0.807,0.101,0.512,0.171,0,0
5,Paid Acquisition,Marketing,3,0.408,0.408,1,0.872,0.83,0.106,0.512,0.144,0,0
5,Partnerships,Marketing,3,0.361,0.361,2,0.682,0.576,0.101,0.487,0.175,0,0
5,Research & Innovation,Product,2,0.403,0.403,1,0.632,0.509,0.101,0.7,0.179,0,0
5,Technical Debt,Product,2,0.239,0.239,1,0.46,0.28,0.1,0.393,0.002,0,0
6,Content & SEO,Marketing,3,0.354,0.354,2,0.833,0.778,0.097,0.39,0.095,0,0
6,Core Platform,Product,3,0.362,0.362,1,0.739,0.652,0.097,0.327,0.283,0,0
6,Customer Success,Operations,3,0.449,0.449,0,0.696,0.595,0.359,0.633,0.108,0,0
6,Data & Analytics,Operations,2,0.375,0.375,0,0.825,0.767,0.099,0.575,0.0,0,0
6,Events & Community,Marketing,3,0.296,0.296,2,0.606,0.475,0.092,0.453,0.033,0,0
6,Finance & Legal,G&A,2,0.341,0.341,1,0.783,0.711,0.095,0.393,0.092,0,0
6,General Admin,G&A,2,0.299,0.299,1,0.808,0.744,0.094,0.21,0.085,0,0
6,HR & Recruiting,G&A,2,0.339,0.339,2,0.8,0.733,0.097,0.21,0.25,0,0
6,Infrastructure & DevOps,Operations,2,0.203,0.203,2,0.45,0.267,0.094,0.216,0.053,0,0
6,New Features,Product,3,0.44,0.44,1,0.856,0.807,0.092,0.512,0.299,0,0
6,Paid Acquisition,Marketing,3,0.404,0.404,1,0.872,0.83,0.094,0.512,0.136,0,0
6,Partnerships,Marketing,3,0.354,0.354,2,0.682,0.576,0.095,0.487,0.153,0,0
6,Research & Innovation,Product,2,0.408,0.408,1,0.8,0.733,0.097,0.575,0.159,0,0
6,Technical Debt,Product,2,0.243,0.243,1,0.46,0.28,0.098,0.393,0.021,0,0
7,Content & SEO,Marketing,3,0.485,0.485,0,0.844,0.792,0.166,0.39,0.541,0,0
7,Core Platform,Product,3,0.425,0.425,1,0.739,0.652,0.097,0.327,0.536,0,0
7,Customer Success,Operations,3,0.539,0.539,0,0.657,0.542,0.362,0.633,0.503,0,0
7,Data & Analytics,Operations,2,0.47,0.47,0,0.825,0.767,0.098,0.575,0.381,0,0
7,Events & Community,Marketing,3,0.393,0.393,1,0.606,0.475,0.101,0.453,0.413,0,0
7,Finance & Legal,G&A,2,0.42,0.42,0,0.783,0.711,0.096,0.393,0.41,0,0
7,General Admin,G&A,2,0.365,0.365,1,0.808,0.744,0.1,0.21,0.341,0,0
7,HR & Recruiting,G&A,2,0.41,0.41,0,0.8,0.733,0.097,0.21,0.532,0,0
7,Infrastructure & DevOps,Operations,2,0.291,0.291,2,0.45,0.267,0.104,0.216,0.394,0,0
7,New Features,Product,3,0.52,0.52,0,0.856,0.807,0.102,0.512,0.61,0,0
7,Paid Acquisition,Marketing,3,0.484,0.484,0,0.872,0.83,0.105,0.512,0.446,0,0
7,Partnerships,Marketing,3,0.454,0.454,0,0.682,0.576,0.102,0.487,0.546,0,0
7,Research & Innovation,Product,2,0.523,0.523,0,0.751,0.668,0.201,0.575,0.565,0,0
7,Technical Debt,Product,2,0.324,0.324,1,0.46,0.28,0.094,0.393,0.348,0,0
8,Content & SEO,Marketing,3,0.351,0.351,2,0.818,0.758,0.109,0.39,0.087,0,0
8,Core Platform,Product,3,0.348,0.348,2,0.739,0.652,0.096,0.327,0.229,0,0
8,Customer Success,Operations,3,0.437,0.437,0,0.696,0.595,0.38,0.633,0.037,0,0
8,Data & Analytics,Operations,2,0.376,0.376,0,0.825,0.767,0.105,0.575,0.0,0,0
8,Events & Community,Marketing,3,0.305,0.305,2,0.606,0.475,0.107,0.453,0.054,0,0
8,Finance & Legal,G&A,2,0.349,0.349,1,0.783,0.711,0.095,0.393,0.125,0,0
8,General Admin,G&A,2,0.312,0.312,1,0.808,0.744,0.103,0.21,0.125,0,0
8,HR & Recruiting,G&A,2,0.354,0.354,1,0.8,0.733,0.102,0.21,0.303,0,0
8,Infrastructure & DevOps,Operations,2,0.198,0.198,2,0.45,0.267,0.112,0.216,0.015,0,0
8,New Features,Product,3,0.414,0.414,1,0.856,0.807,0.114,0.512,0.175,0,0
8,Paid Acquisition,Marketing,3,0.412,0.412,1,0.872,0.83,0.104,0.512,0.158,0,0
8,Partnerships,Marketing,3,0.366,0.366,2,0.682,0.576,0.106,0.487,0.189,0,0
8,Research & Innovation,Product,2,0.403,0.403,1,0.8,0.733,0.195,0.575,0.041,0,0
8,Technical Debt,Product,2,0.239,0.239,1,0.46,0.28,0.103,0.393,0.0,0,0
9,Content & SEO,Marketing,3,0.345,0.345,2,0.766,0.688,0.096,0.39,0.128,0,0
9,Core Platform,Product,3,0.359,0.359,1,0.739,0.652,0.101,0.327,0.271,0,0
9,Customer Success,Operations,3,0.425,0.425,1,0.696,0.595,0.35,0.633,0.021,0,0
9,Data & Analytics,Operations,2,0.384,0.384,0,0.825,0.767,0.101,0.575,0.037,0,0
9,Events & Community,Marketing,3,0.315,0.315,2,0.606,0.475,0.098,0.453,0.101,0,0
9,Finance & Legal,G&A,2,0.335,0.335,1,0.669,0.559,0.108,0.393,0.168,0,0
9,General Admin,G&A,2,0.291,0.291,1,0.737,0.649,0.091,0.21,0.125,0,0
9,HR & Recruiting,G&A,2,0.281,0.281,2,0.8,0.733,0.1,0.21,0.013,0,0
9,Infrastructure & DevOps,Operations,2,0.192,0.192,2,0.45,0.267,0.101,0.216,0.0,0,0
9,New Features,Product,3,0.399,0.399,1,0.856,0.807,0.093,0.512,0.134,0,0
9,Paid Acquisition,Marketing,3,0.402,0.402,1,0.813,0.751,0.166,0.512,0.117,0,0
9,Partnerships,Marketing,3,0.361,0.361,1,0.682,0.576,0.162,0.487,0.114,0,0
9,Research & Innovation,Product,2,0.423,0.423,1,0.8,0.733,0.105,0.575,0.214,0,0
9,Technical Debt,Product,2,0.238,0.238,1,0.46,0.28,0.099,0.393,0.0,0,0
10,Content & SEO,Marketing,3,0.353,0.353,2,0.787,0.716,0.098,0.39,0.135,1,0
10,Core Platform,Product,3,0.345,0.345,2,0.739,0.652,0.098,0.327,0.217,1,0
10,Customer Success,Operations,3,0.444,0.444,1,0.696,0.595,0.364,0.633,0.081,1,0
10,Data & Analytics,Operations,2,0.375,0.375,0,0.825,0.767,0.1,0.575,0.0,1,0
10,Events & Community,Marketing,3,0.303,0.303,2,0.606,0.475,0.102,0.453,0.052,1,0
10,Finance & Legal,G&A,2,0.351,0.351,1,0.783,0.711,0.101,0.393,0.125,1,0
10,General Admin,G&A,2,0.29,0.29,1,0.808,0.744,0.101,0.21,0.042,1,0
10,HR & Recruiting,G&A,2,0.335,0.335,1,0.8,0.733,0.101,0.21,0.229,1,0
10,Infrastructure & DevOps,Operations,2,0.192,0.192,2,0.45,0.267,0.103,0.216,0.0,1,0
10,New Features,Product,3,0.387,0.387,1,0.856,0.807,0.101,0.512,0.078,1,0
10,Paid Acquisition,Marketing,3,0.421,0.421,1,0.872,0.83,0.102,0.512,0.2,1,0
10,Partnerships,Marketing,3,0.353,0.353,2,0.625,0.5,0.1,0.487,0.2,1,0
10,Research & Innovation,Product,2,0.369,0.369,1,0.8,0.733,0.1,0.575,0.0,1,0
10,Technical Debt,Product,2,0.238,0.238,1,0.46,0.28,0.098,0.393,0.0,1,0
11,Content & SEO,Marketing,3,0.38,0.38,2,0.732,0.642,0.103,0.473,0.214,1,0
11,Core Platform,Product,3,0.359,0.359,2,0.63,0.507,0.105,0.41,0.291,1,0
11,Customer Success,Operations,3,0.471,0.471,0,0.696,0.595,0.363,0.633,0.191,1,0
11,Data & Analytics,Operations,2,0.396,0.396,0,0.825,0.767,0.103,0.575,0.08,1,0
11,Events & Community,Marketing,3,0.3,0.3,1,0.606,0.475,0.1,0.453,0.042,1,0
11,Finance & Legal,G&A,2,0.403,0.403,0,0.783,0.711,0.106,0.393,0.331,1,0
11,General Admin,G&A,2,0.32,0.32,1,0.808,0.744,0.096,0.21,0.164,1,0
11,HR & Recruiting,G&A,2,0.355,0.355,1,0.8,0.733,0.098,0.21,0.312,1,0
11,Infrastructure & DevOps,Operations,2,0.22,0.22,2,0.45,0.267,0.097,0.216,0.117,1,0
11,New Features,Product,3,0.407,0.407,1,0.748,0.664,0.097,0.595,0.189,1,0
11,Paid Acquisition,Marketing,3,0.413,0.413,1,0.872,0.83,0.102,0.512,0.164,1,0
11,Partnerships,Marketing,3,0.348,0.348,2,0.638,0.517,0.1,0.487,0.166,1,0
11,Research & Innovation,Product,2,0.409,0.409,1,0.8,0.733,0.101,0.575,0.159,1,0
11,Technical Debt,Product,2,0.238,0.238,1,0.46,0.28,0.097,0.393,0.002,1,0
12,Content & SEO,Marketing,3,0.419,0.419,2,0.642,0.522,0.155,0.475,0.404,1,0
12,Core Platform,Product,3,0.368,0.368,1,0.56,0.414,0.135,0.332,0.445,1,0
12,Customer Success,Operations,3,0.439,0.439,0,0.614,0.485,0.247,0.448,0.448,1,0
12,Data & Analytics,Operations,2,0.405,0.405,0,0.596,0.461,0.105,0.495,0.425,1,0
12,Events & Community,Marketing,3,0.334,0.334,2,0.479,0.306,0.114,0.385,0.36,1,0
12,Finance & Legal,G&A,2,0.417,0.417,0,0.617,0.49,0.171,0.383,0.495,1,0
12,General Admin,G&A,2,0.382,0.382,1,0.678,0.571,0.13,0.256,0.465,1,0
12,HR & Recruiting,G&A,2,0.399,0.399,0,0.667,0.556,0.105,0.288,0.538,1,0
12,Infrastructure & DevOps,Operations,2,0.276,0.276,2,0.37,0.16,0.105,0.297,0.333,1,0
12,New Features,Product,3,0.428,0.428,0,0.751,0.667,0.111,0.403,0.448,1,0
12,Paid Acquisition,Marketing,3,0.475,0.475,0,0.764,0.685,0.165,0.478,0.495,1,0
12,Partnerships,Marketing,3,0.382,0.382,2,0.552,0.402,0.133,0.465,0.378,1,0
12,Research & Innovation,Product,2,0.464,0.464,0,0.754,0.672,0.173,0.435,0.495,1,0
12,Technical Debt,Product,2,0.303,0.303,1,0.375,0.167,0.125,0.365,0.349,1,0
13,Content & SEO,Marketing,3,0.385,0.385,2,0.736,0.648,0.167,0.473,0.163,0,0
13,Core Platform,Product,3,0.34,0.34,2,0.626,0.502,0.102,0.41,0.22,0,0
13,Customer Success,Operations,3,0.359,0.359,1,0.696,0.595,0.105,0.633,0.0,0,0
13,Data & Analytics,Operations,2,0.375,0.375,0,0.825,0.767,0.099,0.575,0.0,0,0
13,Events & Community,Marketing,3,0.29,0.29,2,0.606,0.475,0.099,0.453,0.0,0,0
13,Finance & Legal,G&A,2,0.37,0.37,1,0.688,0.584,0.1,0.393,0.3,0,0
13,General Admin,G&A,2,0.291,0.291,1,0.725,0.633,0.102,0.21,0.125,0,0
13,HR & Recruiting,G&A,2,0.285,0.285,2,0.64,0.519,0.099,0.335,0.067,0,0
13,Infrastructure & DevOps,Operations,2,0.206,0.206,2,0.45,0.267,0.096,0.216,0.062,0,0
13,New Features,Product,3,0.384,0.384,1,0.788,0.717,0.1,0.512,0.138,0,0
13,Paid Acquisition,Marketing,3,0.434,0.434,1,0.763,0.684,0.165,0.595,0.212,0,0
13,Partnerships,Marketing,3,0.362,0.362,2,0.608,0.478,0.166,0.487,0.186,0,0
13,Research & Innovation,Product,2,0.4,0.4,1,0.8,0.733,0.1,0.575,0.125,0,0
13,Technical Debt,Product,2,0.242,0.242,1,0.46,0.28,0.1,0.393,0.015,0,0
14,Content & SEO,Marketing,3,0.36,0.36,2,0.727,0.637,0.102,0.473,0.136,0,1
14,Core Platform,Product,3,0.374,0.374,2,0.622,0.496,0.104,0.494,0.277,0,1
14,Customer Success,Operations,3,0.369,0.369,1,0.696,0.595,0.099,0.633,0.046,0,1
14,Data & Analytics,Operations,2,0.375,0.375,0,0.825,0.767,0.099,0.575,0.0,0,1
14,Events & Community,Marketing,3,0.332,0.332,2,0.609,0.478,0.1,0.536,0.083,0,1
14,Finance & Legal,G&A,2,0.389,0.389,1,0.515,0.353,0.101,0.518,0.425,0,1
14,General Admin,G&A,2,0.307,0.307,1,0.635,0.514,0.101,0.335,0.156,0,1
14,HR & Recruiting,G&A,2,0.293,0.293,2,0.625,0.5,0.101,0.335,0.11,0,1
14,Infrastructure & DevOps,Operations,2,0.237,0.237,2,0.588,0.451,0.098,0.216,0.047,0,1
14,New Features,Product,3,0.427,0.427,1,0.622,0.496,0.103,0.678,0.303,0,1
14,Paid Acquisition,Marketing,3,0.404,0.404,1,0.756,0.674,0.099,0.595,0.165,0,1
14,Partnerships,Marketing,3,0.399,0.399,0,0.452,0.269,0.101,0.737,0.307,0,1
14,Research & Innovation,Product,2,0.388,0.388,1,0.625,0.5,0.1,0.7,0.127,0,1
14,Technical Debt,Product,2,0.284,0.284,1,0.474,0.299,0.099,0.518,0.047,0,1
15,Content & SEO,Marketing,3,0.346,0.346,2,0.727,0.637,0.1,0.473,0.083,0,1
15,Core Platform,Product,3,0.421,0.421,2,0.622,0.497,0.23,0.494,0.338,0,1
15,Customer Success,Operations,3,0.389,0.389,1,0.696,0.595,0.1,0.633,0.125,0,1
15,Data & Analytics,Operations,2,0.388,0.388,0,0.825,0.767,0.103,0.575,0.047,0,1
15,Events & Community,Marketing,3,0.331,0.331,2,0.606,0.475,0.098,0.536,0.083,0,1
15,Finance & Legal,G&A,2,0.39,0.39,0,0.435,0.247,0.102,0.643,0.379,0,1
15,General Admin,G&A,2,0.321,0.321,1,0.636,0.515,0.102,0.335,0.209,0,1
15,HR & Recruiting,G&A,2,0.289,0.289,2,0.625,0.5,0.1,0.335,0.095,0,1
15,Infrastructure & DevOps,Operations,2,0.274,0.274,2,0.45,0.267,0.098,0.341,0.206,0,1
15,New Features,Product,3,0.433,0.433,1,0.622,0.496,0.158,0.678,0.273,0,1
15,Paid Acquisition,Marketing,3,0.408,0.408,1,0.756,0.674,0.1,0.595,0.18,0,1
15,Partnerships,Marketing,3,0.405,0.405,0,0.448,0.264,0.1,0.737,0.336,0,1
15,Research & Innovation,Product,2,0.385,0.385,1,0.625,0.5,0.1,0.7,0.114,0,1
15,Technical Debt,Product,2,0.309,0.309,1,0.46,0.281,0.1,0.518,0.159,0,1
16,Content & SEO,Marketing,3,0.353,0.353,2,0.727,0.637,0.099,0.473,0.111,0,1
16,Core Platform,Product,3,0.398,0.398,2,0.622,0.496,0.235,0.41,0.327,0,1
16,Customer Success,Operations,3,0.36,0.36,1,0.696,0.595,0.101,0.633,0.009,0,1
16,Data & Analytics,Operations,2,0.375,0.375,0,0.825,0.767,0.1,0.575,0.0,0,1
16,Events & Community,Marketing,3,0.311,0.311,2,0.606,0.475,0.101,0.453,0.083,0,1
16,Finance & Legal,G&A,2,0.326,0.326,1,0.433,0.244,0.1,0.393,0.377,0,1
16,General Admin,G&A,2,0.28,0.28,1,0.633,0.511,0.096,0.21,0.182,0,1
16,HR & Recruiting,G&A,2,0.246,0.246,2,0.625,0.5,0.098,0.21,0.049,0,1
16,Infrastructure & DevOps,Operations,2,0.214,0.214,2,0.45,0.267,0.101,0.216,0.089,0,1
16,New Features,Product,3,0.395,0.395,1,0.622,0.496,0.107,0.595,0.255,0,1
16,Paid Acquisition,Marketing,3,0.391,0.391,1,0.756,0.674,0.098,0.512,0.2,0,1
16,Partnerships,Marketing,3,0.332,0.332,1,0.448,0.264,0.099,0.654,0.127,0,1
16,Research & Innovation,Product,2,0.331,0.331,1,0.625,0.5,0.099,0.575,0.024,0,1
16,Technical Debt,Product,2,0.283,0.283,1,0.46,0.28,0.099,0.393,0.179,0,1
17,Content & SEO,Marketing,3,0.337,0.337,2,0.727,0.637,0.1,0.473,0.047,0,1
17,Core Platform,Product,3,0.323,0.323,2,0.622,0.496,0.101,0.327,0.243,0,1
17,Customer Success,Operations,3,0.36,0.36,1,0.696,0.595,0.1,0.633,0.01,0,1
17,Data & Analytics,Operations,2,0.375,0.375,0,0.825,0.767,0.099,0.575,0.0,0,1
17,Events & Community,Marketing,3,0.333,0.333,2,0.606,0.475,0.1,0.536,0.089,0,1
17,Finance & Legal,G&A,2,0.336,0.336,1,0.433,0.244,0.1,0.518,0.294,0,1
17,General Admin,G&A,2,0.262,0.262,2,0.633,0.511,0.1,0.21,0.103,0,1
17,HR & Recruiting,G&A,2,0.28,0.28,2,0.625,0.5,0.1,0.21,0.187,0,1
17,Infrastructure & DevOps,Operations,2,0.227,0.227,2,0.45,0.267,0.101,0.341,0.015,0,1
17,New Features,Product,3,0.346,0.346,2,0.622,0.496,0.099,0.512,0.153,0,1
17,Paid Acquisition,Marketing,3,0.425,0.425,1,0.756,0.674,0.101,0.595,0.246,0,1
17,Partnerships,Marketing,3,0.413,0.413,0,0.448,0.264,0.099,0.737,0.367,0,1
17,Research & Innovation,Product,2,0.335,0.335,1,0.625,0.5,0.101,0.575,0.037,0,1
17,Technical Debt,Product,2,0.244,0.244,1,0.46,0.28,0.101,0.393,0.022,0,1
18,Content & SEO,Marketing,3,0.419,0.419,1,0.721,0.628,0.103,0.487,0.366,0,0
18,Core Platform,Product,3,0.374,0.374,1,0.593,0.457,0.12,0.392,0.392,0,0
18,Customer Success,Operations,3,0.401,0.401,1,0.661,0.548,0.106,0.483,0.355,0,0
18,Data & Analytics,Operations,2,0.447,0.447,0,0.771,0.694,0.122,0.475,0.42,0,0
18,Events & Community,Marketing,3,0.361,0.361,2,0.567,0.422,0.108,0.4,0.369,0,0
18,Finance & Legal,G&A,2,0.418,0.418,0,0.524,0.366,0.119,0.583,0.445,0,0
18,General Admin,G&A,2,0.394,0.394,1,0.66,0.546,0.105,0.442,0.371,0,0
18,HR & Recruiting,G&A,2,0.399,0.399,0,0.652,0.536,0.107,0.351,0.484,0,0
18,Infrastructure & DevOps,Operations,2,0.316,0.316,2,0.521,0.361,0.131,0.255,0.355,0,0
18,New Features,Product,3,0.387,0.387,1,0.568,0.424,0.108,0.397,0.473,0,0
18,Paid Acquisition,Marketing,3,0.406,0.406,0,0.696,0.595,0.121,0.397,0.409,0,0
18,Partnerships,Marketing,3,0.424,0.424,0,0.547,0.396,0.108,0.606,0.433,0,0
18,Research & Innovation,Product,2,0.429,0.429,0,0.603,0.471,0.107,0.519,0.486,0,0
18,Technical Debt,Product,2,0.382,0.382,1,0.578,0.437,0.112,0.479,0.358,0,0
19,Content & SEO,Marketing,3,0.354,0.354,2,0.727,0.637,0.1,0.473,0.114,0,0
19,Core Platform,Product,3,0.31,0.31,2,0.622,0.496,0.096,0.327,0.195,0,0
19,Customer Success,Operations,3,0.361,0.361,1,0.696,0.595,0.098,0.633,0.014,0,0
19,Data & Analytics,Operations,2,0.389,0.389,0,0.825,0.767,0.102,0.575,0.053,0,0
19,Events & Community,Marketing,3,0.304,0.304,2,0.606,0.475,0.101,0.453,0.054,0,0
19,Finance & Legal,G&A,2,0.342,0.342,1,0.433,0.244,0.1,0.518,0.316,0,0
19,General Admin,G&A,2,0.267,0.267,2,0.633,0.511,0.099,0.21,0.125,0,0
19,HR & Recruiting,G&A,2,0.246,0.246,2,0.625,0.5,0.1,0.21,0.049,0,0
19,Infrastructure & DevOps,Operations,2,0.206,0.206,2,0.45,0.267,0.1,0.216,0.056,0,0
19,New Features,Product,3,0.35,0.35,1,0.622,0.496,0.098,0.512,0.167,0,0
19,Paid Acquisition,Marketing,3,0.369,0.369,1,0.756,0.674,0.1,0.512,0.107,0,0
19,Partnerships,Marketing,3,0.345,0.345,2,0.448,0.264,0.101,0.57,0.261,0,0
19,Research & Innovation,Product,2,0.387,0.387,1,0.625,0.5,0.1,0.575,0.25,0,0
19,Technical Debt,Product,2,0.251,0.251,1,0.46,0.28,0.101,0.393,0.05,0,0
20,Content & SEO,Marketing,3,0.323,0.323,2,0.727,0.637,0.1,0.39,0.074,0,0
20,Core Platform,Product,3,0.35,0.35,2,0.628,0.504,0.102,0.41,0.262,0,0
20,Customer Success,Operations,3,0.359,0.359,1,0.696,0.595,0.099,0.633,0.007,0,0
20,Data & Analytics,Operations,2,0.375,0.375,0,0.825,0.767,0.099,0.575,0.0,0,0
20,Events & Community,Marketing,3,0.3,0.3,2,0.606,0.475,0.101,0.453,0.039,0,0
20,Finance & Legal,G&A,2,0.273,0.273,2,0.433,0.244,0.099,0.393,0.168,0,0
20,General Admin,G&A,2,0.273,0.273,2,0.633,0.511,0.099,0.21,0.151,0,0
20,HR & Recruiting,G&A,2,0.242,0.242,2,0.625,0.5,0.1,0.21,0.034,0,0
20,Infrastructure & DevOps,Operations,2,0.194,0.194,2,0.45,0.267,0.101,0.216,0.009,0,0
20,New Features,Product,3,0.383,0.383,2,0.622,0.496,0.1,0.595,0.214,0,0
20,Paid Acquisition,Marketing,3,0.399,0.399,1,0.756,0.674,0.101,0.595,0.146,0,0
20,Partnerships,Marketing,3,0.392,0.392,0,0.448,0.264,0.101,0.654,0.365,0,0
20,Research & Innovation,Product,2,0.348,0.348,1,0.625,0.5,0.101,0.575,0.092,0,0
20,Technical Debt,Product,2,0.292,0.292,1,0.47,0.294,0.098,0.518,0.081,0,0
